// Move to data/assets_data.csv
asset_id,category,type,state,city,condition,purchase_date,last_maintenance_date,next_maintenance_due,usage_hours,assigned_officer,remarks,serial_number,caliber,ammunition_count,assigned_unit,ip_address,firmware_version,os_version,vendor,warranty_expiry,license_plate,fuel_type,assigned_station,mileage_km,battery_health,connectivity,storage_capacity
PDM904658,Weapons,Glock 19,Kuala Lumpur,Cheras,Needs Action,2018-03-27,2018-05-06,2019-01-13,1237.0,Sharifah,Battery replacement needed,RP494565,9mm,13.0,Mobile Patrol Force,,,,,,,,,,,,
AST607552,Weapons,Revolver .38 Special,Johor,Batu Pahat,Good,2017-12-26,2018-12-07,2019-11-19,3106.0,Suraya,Scheduled for maintenance,TX950765,.22 LR,55.0,Criminal Investigation,,,,,,,,,,,,
PDM326577,Devices,Dahua CCTV,Kelantan,Kota Bharu,Needs Action,2020-12-13,2021-11-03,2022-08-01,127.0,Suraya,Battery degradation,,,,,,v10.9,,,,,,,,77%,5G,32GB
PDM579538,Weapons,Revolver .38 Special,Terengganu,Kuala Terengganu,Good,2024-09-27,2025-02-14,2025-12-09,3431.0,Yusof,Battery replacement needed,IB937842,.22 LR,157.0,Criminal Investigation,,,,,,,,,,,,
AST558645,Weapons,Glock 19,Kelantan,Tanah Merah,Needs Action,2024-11-29,2025-04-24,2025-11-20,3576.0,Yusof,Camera lens scratched,LU111416,5.56mm,121.0,Patrol Unit,,,,,,,,,,,,
AST264878,Weapons,M4 Carbine,Kelantan,Machang,Good,2015-04-13,2016-01-22,2016-09-26,2910.0,Hafiz,Camera lens scratched,TM652647,5.56mm,163.0,Cybercrime Unit,,,,,,,,,,,,
AST274598,ICT Assets,iPad Tablet,Pahang,Jerantut,Damaged,2022-10-01,2023-08-15,2024-06-22,3159.0,Siti Nurhaliza,Network connectivity issues,,,,,192.168.223.149,v4.5.4,v9.2,Apple,2025-03-29,,,,,,,
PDM478479,Weapons,M4 Carbine,Penang,Bukit Mertajam,Good,2017-02-04,2017-10-22,2018-08-04,451.0,Abdul Rahman,Camera lens scratched,FC432592,.357 Magnum,126.0,Traffic Police,,,,,,,,,,,,
EQP684071,Vehicles,Logistics Lorry,Putrajaya,Presint 8,Needs Action,2019-01-03,2019-12-01,2020-03-10,,Noraini,Hardware replacement needed,,,,,,,,,,KL 1118 E,Petrol,Presint 8 District Office,151098.0,,,
EQP636470,Weapons,Benelli M4,Terengganu,Dungun,Damaged,2016-10-17,2017-04-27,2017-10-02,4475.0,Hassan,Requires cleaning,HI052020,5.56mm,75.0,Special Branch,,,,,,,,,,,,
EQP721460,ICT Assets,iPad Tablet,Penang,Balik Pulau,Damaged,2019-04-16,2020-03-26,2020-11-01,693.0,Zulkifli,Software update pending,,,,,192.168.172.68,v5.2.8,v12.3,Apple,2022-08-25,,,,,,,
EQP558727,ICT Assets,HP Aruba Switch,Johor,Johor Bahru,Needs Action,2021-03-15,2021-12-03,2022-10-03,6929.0,Hakim,Regular maintenance completed,,,,,192.168.4.138,v1.1.9,v8.3,HP,2023-03-13,,,,,,,
EQP835914,ICT Assets,HP Laptop,Sarawak,Kuching,Needs Action,2025-01-10,2025-07-22,2026-02-25,2431.0,Baharuddin,Requires software upgrade,,,,,192.168.236.232,v5.9.5,v8.2,HP,2027-06-27,,,,,,,
PDM726728,ICT Assets,HP Laptop,Negeri Sembilan,Port Dickson,Good,2021-02-11,2021-06-08,2021-10-20,3877.0,Noraini,Storage capacity low,,,,,172.16.2.200,v4.6.4,v9.3,HP,2025-09-19,,,,,,,
EQP680779,ICT Assets,SAN Storage,Putrajaya,Presint 8,Good,2024-10-28,2025-01-01,2025-06-02,6455.0,Suraya,Battery degradation,,,,,192.168.158.126,v5.4.5,v11.4,Dell EMC,2028-05-17,,,,,,,
EQP446559,ICT Assets,Cisco ISR Router,Kuala Lumpur,Bangsar,Damaged,2015-02-14,2015-10-19,2016-09-09,5285.0,Zulkifli,Performance optimal,,,,,10.0.10.211,v5.4.4,v10.5,Cisco,2017-09-30,,,,,,,
PDM937784,ICT Assets,iPad Tablet,Sarawak,Miri,Damaged,2024-04-12,2025-01-05,2025-06-18,964.0,Hamid,Camera lens scratched,,,,,10.0.109.61,v5.6.6,v12.1,Apple,2029-02-15,,,,,,,
PDM625577,Vehicles,Proton Wira,Johor,Johor Bahru,Good,2018-07-31,2019-02-19,2020-01-22,,Ismail,Requires software upgrade,,,,,,,,,,PN 8877 F,Electric,Johor Bahru Police Station,93347.0,,,
EQP975297,Weapons,Glock 19,Melaka,Jasin,Needs Action,2016-10-21,2017-02-22,2017-09-13,1691.0,Fatimah,Performance optimal,RO079560,7.62mm,17.0,Cybercrime Unit,,,,,,,,,,,,
EQP869284,ICT Assets,iPad Tablet,Kedah,Langkawi,Damaged,2022-04-10,2022-07-25,2023-01-18,2628.0,Hamid,Engine overheating,,,,,172.16.225.148,v2.4.5,v11.1,Apple,2025-10-15,,,,,,,
EQP616902,ICT Assets,VMware ESXi,Pahang,Bentong,Damaged,2021-08-04,2022-01-13,2022-05-12,3496.0,Azhar,Battery replacement needed,,,,,172.16.154.63,v2.6.7,v11.2,VMware,2024-11-13,,,,,,,
PDM815033,Vehicles,Honda CBX Motorcycle,Putrajaya,Putrajaya,Good,2018-08-05,2019-05-24,2019-11-20,,Rashid,Minor wear and tear,,,,,,,,,,WA 2551 F,Diesel,Putrajaya HQ,80063.0,,,
EQP256351,Vehicles,Proton Wira,Negeri Sembilan,Bahau,Needs Action,2015-03-30,2016-01-13,2016-04-28,,Mohd Azlan,Hardware replacement needed,,,,,,,,,,NS 2798 A,Electric,Bahau Police Station,17415.0,,,
PDM131417,Weapons,Revolver .38 Special,Johor,Johor Bahru,Needs Action,2022-01-16,2022-09-10,2023-06-13,2289.0,Syafiq,Network connectivity issues,AL256475,.22 LR,2.0,Patrol Unit,,,,,,,,,,,,
AST221731,Weapons,Taser,Selangor,Klang,Needs Action,2015-03-23,2015-12-01,2016-05-17,2031.0,Zulkifli,Needs calibration,DE474473,9mm,17.0,Mobile Patrol Force,,,,,,,,,,,,
AST908239,Weapons,Glock 19,Selangor,Petaling Jaya,Good,2022-09-20,2023-08-21,2024-02-06,2137.0,Abdul Rahman,Network connectivity issues,CQ996067,.45 ACP,27.0,Special Branch,,,,,,,,,,,,
PDM683442,Vehicles,Honda CBX Motorcycle,Terengganu,Kuala Terengganu,Needs Action,2019-12-24,2020-06-14,2021-03-04,,Noraini,Camera lens scratched,,,,,,,,,,KB 8749 B,Electric,Kuala Terengganu HQ,128196.0,,,
EQP616649,Vehicles,Prison Transport Bus,Pahang,Kuantan,Good,2020-02-28,2020-11-04,2021-08-01,,Fatimah,Hardware replacement needed,,,,,,,,,,JH 6010 C,Hybrid,Kuantan Police Station,171511.0,,,
EQP176240,Vehicles,Proton Wira,Johor,Muar,Good,2019-07-25,2020-03-27,2020-08-24,,Nadia,Software update pending,,,,,,,,,,WB 7016 A,Electric,Muar District Office,13993.0,,,
EQP164269,Vehicles,Yamaha R25 Motorcycle,Negeri Sembilan,Seremban,Needs Action,2019-02-05,2020-01-21,2020-07-12,,Sharifah,Requires cleaning,,,,,,,,,,WC 3410 K,Electric,Seremban Police Station,93422.0,,,
EQP235225,ICT Assets,Windows Server 2019,Sarawak,Bintulu,Needs Action,2020-10-04,2021-06-13,2022-05-16,1736.0,Aisyah,Firmware outdated,,,,,10.0.89.58,v5.0.1,v8.5,Microsoft,2024-09-22,,,,,,,
AST562637,Weapons,Glock 19,Terengganu,Dungun,Needs Action,2015-07-03,2015-09-03,2016-01-18,3751.0,Nadia,Engine overheating,SZ325606,.357 Magnum,88.0,Mobile Patrol Force,,,,,,,,,,,,
EQP355579,Weapons,M16A4,Sarawak,Bintulu,Needs Action,2022-06-27,2023-02-05,2023-11-29,1105.0,Mansor,Performance optimal,CB746980,5.56mm,111.0,Mobile Patrol Force,,,,,,,,,,,,
AST217606,Weapons,M4 Carbine,Perak,Kampar,Damaged,2019-04-20,2020-01-07,2020-06-21,2770.0,Noraini,Storage capacity low,SI237083,.357 Magnum,151.0,Criminal Investigation,,,,,,,,,,,,
PDM253718,ICT Assets,HP Laptop,Kuala Lumpur,Kuala Lumpur,Needs Action,2016-06-19,2016-09-30,2017-05-10,4305.0,Razak,Firmware outdated,,,,,10.0.190.179,v2.5.5,v8.5,HP,2020-03-16,,,,,,,
AST191381,Devices,Hikvision CCTV,Kuala Lumpur,Kuala Lumpur,Damaged,2019-11-11,2020-06-21,2020-10-19,691.0,Rohani,Requires software upgrade,,,,,,v6.2,,,,,,,,94%,Bluetooth,256GB
PDM578403,ICT Assets,Linux RHEL Server,Kelantan,Tanah Merah,Damaged,2020-01-21,2020-10-30,2021-03-11,4363.0,Haslinda,Regular maintenance completed,,,,,172.16.250.185,v3.0.6,v9.5,Red Hat,2021-11-07,,,,,,,
PDM444774,Weapons,Walther P99,Perak,Taiping,Good,2023-04-23,2023-10-18,2024-05-29,807.0,Ibrahim,Engine overheating,PG359119,5.56mm,110.0,Patrol Unit,,,,,,,,,,,,
PDM335708,ICT Assets,iPad Tablet,Kelantan,Machang,Damaged,2016-04-27,2016-10-15,2017-08-10,1221.0,Hamid,Requires software upgrade,,,,,10.0.238.57,v3.4.8,v12.4,Apple,2021-02-24,,,,,,,
PDM935991,ICT Assets,HP Laptop,Kelantan,Tanah Merah,Damaged,2018-12-22,2019-05-15,2019-10-07,7325.0,Mansor,Scheduled for maintenance,,,,,10.0.42.99,v4.6.7,v12.3,HP,2020-09-17,,,,,,,
PDM990169,ICT Assets,VMware ESXi,Selangor,Petaling Jaya,Good,2021-07-05,2022-05-25,2022-10-13,6200.0,Yusof,Engine overheating,,,,,172.16.154.106,v4.0.1,v10.2,VMware,2026-01-16,,,,,,,
AST627719,Vehicles,Toyota Hilux,Johor,Muar,Good,2016-12-30,2017-08-21,2017-12-09,,Aminah,Storage capacity low,,,,,,,,,,NS 5190 H,Petrol,Muar Police Station,123673.0,,,
EQP287725,Vehicles,Proton X70,Kedah,Alor Setar,Needs Action,2018-05-19,2018-07-19,2018-12-15,,Ahmad Faiz,Performance optimal,,,,,,,,,,TR 3833 J,Diesel,Alor Setar HQ,117687.0,,,
PDM332658,Weapons,Glock 19,Perak,Ipoh,Damaged,2016-01-22,2016-12-19,2017-08-26,3475.0,Mohd Azlan,Needs calibration,ML213608,.45 ACP,63.0,Anti-Vice Unit,,,,,,,,,,,,
AST630552,ICT Assets,HP Laptop,Selangor,Subang Jaya,Good,2015-01-29,2015-05-18,2015-12-22,6559.0,Haslinda,No issues,,,,,172.16.55.140,v4.0.9,v9.0,HP,2019-03-08,,,,,,,
AST161730,ICT Assets,iPad Tablet,Sabah,Lahad Datu,Needs Action,2015-03-25,2016-03-05,2016-11-16,6575.0,Farid,Battery replacement needed,,,,,192.168.246.236,v2.0.7,v8.0,Apple,2017-04-04,,,,,,,
PDM752036,Weapons,M16A4,Pahang,Temerloh,Needs Action,2018-02-07,2018-12-27,2019-09-27,2000.0,Zulkifli,Requires cleaning,VC699485,9mm,68.0,Mobile Patrol Force,,,,,,,,,,,,
EQP635697,Vehicles,Honda CBX Motorcycle,Terengganu,Dungun,Good,2025-03-16,2025-08-21,2025-12-03,,Aminah,Software update pending,,,,,,,,,,KD 4887 D,Hybrid,Dungun HQ,97362.0,,,
PDM526777,Weapons,Remington 870,Selangor,Shah Alam,Needs Action,2018-07-09,2019-06-12,2020-02-09,839.0,Normah,Scheduled for maintenance,GO516575,.357 Magnum,23.0,Patrol Unit,,,,,,,,,,,,
AST606932,Vehicles,Proton Wira,Kedah,Sungai Petani,Damaged,2022-06-07,2022-08-16,2023-08-05,,Zaitun,Storage capacity low,,,,,,,,,,KB 1357 F,Diesel,Sungai Petani District Office,34965.0,,,
EQP404060,Weapons,Glock 19,Kelantan,Kota Bharu,Damaged,2016-05-19,2016-07-16,2017-06-09,487.0,Zarina,No issues,XE656508,.357 Magnum,113.0,Cybercrime Unit,,,,,,,,,,,,
AST160286,Weapons,Baton,Sarawak,Bintulu,Good,2017-04-14,2018-01-09,2018-05-29,4707.0,Hassan,Engine overheating,FS694222,7.62mm,102.0,Criminal Investigation,,,,,,,,,,,,
AST426199,Weapons,Glock 19,Selangor,Klang,Good,2019-11-02,2020-06-09,2020-11-19,2248.0,Zulkifli,Battery replacement needed,GH265284,9mm,39.0,Cybercrime Unit,,,,,,,,,,,,
AST733513,Vehicles,Proton X70,Pahang,Kuantan,Good,2015-06-28,2015-07-29,2016-05-14,,Azhar,Minor wear and tear,,,,,,,,,,KB 9474 G,Electric,Kuantan HQ,19051.0,,,
AST214329,Devices,Hikvision CCTV,Perak,Taiping,Good,2023-04-17,2024-01-28,2024-11-21,273.0,Zarina,Firmware outdated,,,,,,v8.4,,,,,,,,77%,4G,1TB
AST529088,Vehicles,Honda CBX Motorcycle,Sarawak,Kuching,Needs Action,2021-02-25,2021-08-29,2022-06-11,,Mansor,Battery degradation,,,,,,,,,,KL 3218 A,Diesel,Kuching Police Station,142810.0,,,
EQP163859,Weapons,Sig Sauer P226,Kelantan,Kota Bharu,Damaged,2020-11-15,2021-04-25,2021-08-03,584.0,Zaitun,No issues,CA903385,.38 Special,17.0,Special Branch,,,,,,,,,,,,
EQP949323,Vehicles,Proton Wira,Pahang,Temerloh,Damaged,2019-05-13,2019-07-15,2020-05-10,,Ramlah,Requires software upgrade,,,,,,,,,,PN 2531 E,Diesel,Temerloh Police Station,61546.0,,,
AST471341,Weapons,Sig Sauer P226,Putrajaya,Presint 8,Good,2018-12-15,2019-12-03,2020-10-14,2482.0,Hafiz,Requires software upgrade,UG825573,5.56mm,179.0,Patrol Unit,,,,,,,,,,,,
PDM183257,Weapons,Revolver .38 Special,Perak,Sitiawan,Needs Action,2025-04-25,2025-08-18,2026-01-27,4597.0,Mansor,Camera lens scratched,XO328671,5.56mm,117.0,Cybercrime Unit,,,,,,,,,,,,
EQP154462,ICT Assets,Canon Printer,Penang,George Town,Needs Action,2024-04-21,2024-10-06,2025-07-01,625.0,Normah,Software update pending,,,,,172.16.229.142,v4.4.7,v10.2,Canon,2026-11-30,,,,,,,
AST709794,Vehicles,Proton X70,Terengganu,Dungun,Damaged,2024-10-17,2024-12-02,2025-11-30,,Sharifah,Minor wear and tear,,,,,,,,,,SG 9785 J,Electric,Dungun District Office,194982.0,,,
AST953309,Weapons,M4 Carbine,Sabah,Tawau,Needs Action,2017-05-09,2017-09-13,2017-12-19,232.0,Sarah,Hardware replacement needed,NW664435,5.56mm,195.0,Narcotics Division,,,,,,,,,,,,
PDM493937,Vehicles,Toyota Hilux,Perak,Kampar,Good,2024-12-03,2025-01-08,2025-04-22,,Halimah,Battery degradation,,,,,,,,,,ML 4457 F,Diesel,Kampar Police Station,191162.0,,,
AST791991,Weapons,Sig Sauer P226,Putrajaya,Presint 8,Needs Action,2020-03-09,2020-07-26,2021-06-02,159.0,Hakim,Software update pending,QM561858,.22 LR,169.0,Anti-Vice Unit,,,,,,,,,,,,
AST338990,Weapons,Baton,Pahang,Kuantan,Good,2025-05-01,2025-08-10,2026-01-14,3516.0,Mohd Azlan,Software update pending,CR215793,.22 LR,123.0,Traffic Police,,,,,,,,,,,,
EQP380670,Weapons,Benelli M4,Melaka,Melaka City,Good,2019-02-17,2019-05-02,2020-03-06,734.0,Yusof,Regular maintenance completed,IH565395,.357 Magnum,140.0,Mobile Patrol Force,,,,,,,,,,,,
EQP436315,ICT Assets,HP Laptop,Sarawak,Kuching,Needs Action,2024-09-18,2025-06-18,2026-04-05,6785.0,Farid,Requires software upgrade,,,,,172.16.69.85,v2.9.4,v11.2,HP,2028-07-10,,,,,,,
PDM428512,Weapons,Benelli M4,Johor,Johor Bahru,Needs Action,2015-02-05,2015-04-03,2015-12-18,1763.0,Zarina,Minor wear and tear,HB639431,.38 Special,25.0,Special Branch,,,,,,,,,,,,
EQP656932,Weapons,Glock 19,Sabah,Kota Kinabalu,Damaged,2020-02-13,2020-05-21,2021-04-13,4977.0,Baharuddin,Firmware outdated,PS585874,.38 Special,192.0,Patrol Unit,,,,,,,,,,,,
PDM889451,Vehicles,Honda CBX Motorcycle,Perak,Sitiawan,Damaged,2016-11-29,2016-12-30,2017-08-24,,Rosnah,Battery degradation,,,,,,,,,,TR 7579 A,Petrol,Sitiawan District Office,103982.0,,,
PDM651273,Weapons,Glock 19,Kelantan,Tanah Merah,Needs Action,2019-06-18,2019-11-08,2020-04-11,4018.0,Kamal,Engine overheating,NK619646,9mm,172.0,Patrol Unit,,,,,,,,,,,,
AST151353,Weapons,Taser,Terengganu,Kemaman,Good,2019-06-18,2020-04-16,2020-07-20,2226.0,Aminah,Firmware outdated,ZD142637,5.56mm,162.0,Mobile Patrol Force,,,,,,,,,,,,
EQP219050,Weapons,Uzi,Perak,Sitiawan,Good,2024-05-21,2025-04-06,2026-01-05,124.0,Haslinda,No issues,PU987427,.38 Special,99.0,Mobile Patrol Force,,,,,,,,,,,,
PDM583670,ICT Assets,Windows Server 2019,Johor,Johor Bahru,Damaged,2019-12-26,2020-02-21,2020-08-31,8323.0,Mohd Azlan,Firmware outdated,,,,,192.168.82.246,v2.3.5,v12.5,Microsoft,2021-03-20,,,,,,,
EQP204288,ICT Assets,Fortinet Firewall,Penang,Bukit Mertajam,Needs Action,2021-01-23,2021-04-18,2021-12-30,1581.0,Noraini,Minor wear and tear,,,,,192.168.23.236,v3.7.6,v11.4,Fortinet,2022-04-11,,,,,,,
EQP396745,Weapons,Glock 19,Terengganu,Chukai,Good,2018-02-06,2019-01-03,2019-12-27,1690.0,Hakim,Needs calibration,JH710029,7.62mm,192.0,Mobile Patrol Force,,,,,,,,,,,,
EQP454806,Weapons,Sig Sauer P226,Kelantan,Machang,Good,2019-05-13,2019-09-21,2020-05-24,1084.0,Kamarul,Minor wear and tear,EY689351,7.62mm,40.0,Mobile Patrol Force,,,,,,,,,,,,
EQP503046,Devices,Motorola VB400,Negeri Sembilan,Port Dickson,Damaged,2023-11-07,2024-06-14,2025-02-01,1546.0,Zulkifli,Camera lens scratched,,,,,,v2.2,,,,,,,,84%,5G,512GB
AST741360,Vehicles,Honda CBX Motorcycle,Perak,Taiping,Good,2018-06-01,2019-04-02,2019-11-22,,Baharuddin,Software update pending,,,,,,,,,,PN 9949 H,Diesel,Taiping Police Station,108256.0,,,
EQP594151,Weapons,M4 Carbine,Penang,Balik Pulau,Needs Action,2021-04-18,2022-01-07,2022-09-12,2951.0,Zulkifli,Requires cleaning,LZ939043,.45 ACP,82.0,Cybercrime Unit,,,,,,,,,,,,
EQP356321,ICT Assets,HP Laptop,Kuala Lumpur,Kuala Lumpur,Damaged,2021-03-03,2021-09-01,2022-06-09,7454.0,Ramlah,Engine overheating,,,,,172.16.165.177,v2.7.7,v11.3,HP,2023-03-12,,,,,,,
PDM734518,Vehicles,Honda Civic,Terengganu,Kemaman,Needs Action,2018-08-05,2018-09-30,2019-09-23,,Razak,Regular maintenance completed,,,,,,,,,,WB 1197 E,Hybrid,Kemaman Police Station,167001.0,,,
AST533617,Weapons,Glock 19,Johor,Johor Bahru,Good,2018-07-26,2018-11-16,2019-03-26,4181.0,Fauziah,Minor wear and tear,BD816612,.357 Magnum,98.0,Anti-Vice Unit,,,,,,,,,,,,
EQP199019,Weapons,Glock 19,Johor,Johor Bahru,Needs Action,2021-01-30,2021-05-19,2022-04-10,3660.0,Zulkifli,No issues,CC188599,.38 Special,154.0,Anti-Vice Unit,,,,,,,,,,,,
AST438324,Weapons,Walther P99,Kedah,Langkawi,Needs Action,2016-06-26,2016-07-29,2016-12-16,2710.0,Mansor,Storage capacity low,KH499373,.357 Magnum,90.0,Criminal Investigation,,,,,,,,,,,,
PDM263034,Vehicles,Toyota Hilux,Sabah,Kota Kinabalu,Needs Action,2017-10-29,2018-01-23,2018-05-26,,Mariam,Battery replacement needed,,,,,,,,,,WC 3914 K,Hybrid,Kota Kinabalu HQ,193222.0,,,
EQP102232,Weapons,Glock 19,Melaka,Alor Gajah,Needs Action,2023-08-09,2024-05-31,2025-05-05,137.0,Azhar,Minor wear and tear,BT085963,.45 ACP,63.0,Anti-Vice Unit,,,,,,,,,,,,
PDM443258,ICT Assets,Linux RHEL Server,Terengganu,Dungun,Good,2025-07-19,2025-08-21,2025-11-21,8744.0,Haslinda,Battery degradation,,,,,172.16.1.8,v2.8.9,v9.5,Red Hat,2029-04-24,,,,,,,
AST182991,Weapons,HK416,Kedah,Alor Setar,Needs Action,2020-04-24,2020-09-03,2021-08-08,491.0,Rashid,Camera lens scratched,GN792071,5.56mm,134.0,Traffic Police,,,,,,,,,,,,
EQP463944,Vehicles,Transport Truck,Penang,Balik Pulau,Needs Action,2018-12-04,2019-03-11,2019-07-27,,Azmi,Requires cleaning,,,,,,,,,,KB 2356 K,Diesel,Balik Pulau HQ,164138.0,,,
EQP477875,Devices,Motorola VB400,Kuala Lumpur,Kuala Lumpur,Needs Action,2018-06-06,2019-03-22,2020-03-02,245.0,Ramlah,Software update pending,,,,,,v2.1,,,,,,,,73%,Bluetooth,64GB
AST292475,Devices,Motorola VB400,Kedah,Sungai Petani,Damaged,2019-06-23,2019-10-14,2020-05-13,311.0,Farid,Needs calibration,,,,,,v9.7,,,,,,,,61%,Bluetooth,512GB
AST973891,Weapons,Revolver .38 Special,Melaka,Jasin,Damaged,2021-12-09,2022-11-08,2023-10-06,968.0,Fauziah,No issues,KW094300,9mm,173.0,Narcotics Division,,,,,,,,,,,,
PDM448268,ICT Assets,HP Laptop,Melaka,Alor Gajah,Needs Action,2016-11-05,2017-04-04,2018-03-21,6816.0,Suraya,Network connectivity issues,,,,,10.0.178.189,v5.7.3,v12.2,HP,2020-05-29,,,,,,,
EQP169986,Weapons,Taser,Penang,Bukit Mertajam,Damaged,2024-11-23,2025-08-04,2026-03-31,1879.0,Rosnah,Battery replacement needed,ZO901734,.38 Special,53.0,Traffic Police,,,,,,,,,,,,
PDM739491,Vehicles,Honda CBX Motorcycle,Negeri Sembilan,Port Dickson,Good,2015-08-01,2015-11-18,2016-03-07,,Rashid,Battery replacement needed,,,,,,,,,,JH 4117 G,Hybrid,Port Dickson HQ,123248.0,,,
EQP831275,Vehicles,Honda CBX Motorcycle,Kelantan,Kota Bharu,Damaged,2016-10-10,2017-04-18,2018-04-13,,Zaharah,Requires cleaning,,,,,,,,,,PN 4971 K,Electric,Kota Bharu Police Station,87494.0,,,
PDM466499,ICT Assets,Windows Server 2019,Negeri Sembilan,Seremban,Needs Action,2024-04-20,2025-03-12,2025-08-08,6792.0,Fauziah,Minor wear and tear,,,,,10.0.23.235,v4.0.5,v12.1,Microsoft,2025-05-25,,,,,,,
EQP197273,ICT Assets,Canon Printer,Pahang,Kuantan,Damaged,2023-03-22,2023-12-09,2024-05-31,1019.0,Nadia,Requires cleaning,,,,,192.168.31.113,v5.9.1,v10.4,Canon,2027-02-13,,,,,,,
EQP717990,Vehicles,Yamaha R25 Motorcycle,Johor,Skudai,Needs Action,2018-02-01,2018-06-16,2019-04-03,,Fauziah,Engine overheating,,,,,,,,,,WB 1577 J,Diesel,Skudai HQ,198576.0,,,
AST342752,Vehicles,Proton Wira,Johor,Muar,Damaged,2020-02-06,2020-11-16,2021-05-12,,Ahmad Faiz,Requires software upgrade,,,,,,,,,,WA 7392 F,Petrol,Muar Police Station,91823.0,,,
EQP942471,Weapons,M4 Carbine,Johor,Johor Bahru,Needs Action,2017-03-06,2017-06-26,2017-12-08,3010.0,Rohani,Regular maintenance completed,PV286996,.357 Magnum,152.0,Mobile Patrol Force,,,,,,,,,,,,
AST976344,Devices,Motorola APX Radio,Pahang,Jerantut,Damaged,2017-05-01,2017-09-21,2018-03-06,1053.0,Aminah,Performance optimal,,,,,,v8.0,,,,,,,,99%,5G,1TB
EQP156976,Weapons,Remington 870,Sarawak,Bintulu,Needs Action,2019-06-13,2019-08-19,2020-08-16,1042.0,Ibrahim,Network connectivity issues,NR697777,7.62mm,44.0,Special Branch,,,,,,,,,,,,
EQP170395,Weapons,Walther P99,Negeri Sembilan,Nilai,Damaged,2019-11-28,2020-06-21,2021-03-23,1207.0,Azmi,Software update pending,JI782832,.45 ACP,50.0,Cybercrime Unit,,,,,,,,,,,,
AST254920,Weapons,Baton,Terengganu,Kuala Terengganu,Good,2020-11-09,2021-03-21,2021-12-22,1332.0,Zaitun,Hardware replacement needed,VK896822,.22 LR,65.0,Patrol Unit,,,,,,,,,,,,
PDM832623,Vehicles,Transport Truck,Pahang,Kuantan,Needs Action,2022-06-02,2023-05-02,2023-11-07,,Zarina,Requires software upgrade,,,,,,,,,,PN 1424 B,Diesel,Kuantan Police Station,155939.0,,,
EQP345439,Vehicles,Logistics Lorry,Melaka,Alor Gajah,Good,2019-10-09,2020-02-08,2020-10-30,,Aisyah,Camera lens scratched,,,,,,,,,,KD 1532 B,Electric,Alor Gajah District Office,41540.0,,,
EQP454748,Weapons,Baton,Johor,Batu Pahat,Needs Action,2023-06-24,2024-03-30,2024-11-28,1831.0,Normah,Battery replacement needed,QL546688,.45 ACP,195.0,Special Branch,,,,,,,,,,,,
